Rank,Feature,Mean_SHAP,Mean_SHAP_pct
1,Fwd Packet Length Max,3.638753,23.18
2,Total Length of Fwd Packets,1.8861036,12.02
3,Fwd Packet Length Mean,1.5987931,10.19
4,Destination Port,1.4602293,9.3
5,Bwd Packet Length Std,0.6581808,4.19
6,Init_Win_bytes_forward,0.59881425,3.82
7,Subflow Fwd Bytes,0.55207866,3.52
8,Init_Win_bytes_backward,0.3908511,2.49
9,Flow IAT Max,0.37918237,2.42
10,Avg Fwd Segment Size,0.36317924,2.31
11,Bwd IAT Total,0.3095835,1.97
12,Flow IAT Mean,0.3083128,1.96
13,act_data_pkt_fwd,0.296579,1.89
14,Bwd Header Length,0.296348,1.89
15,Bwd Packet Length Mean,0.24912597,1.59
16,Flow IAT Std,0.24491952,1.56
17,Flow Bytes/s,0.17002146,1.08
18,Total Backward Packets,0.16884704,1.08
19,Bwd IAT Max,0.13852547,0.88
20,Flow IAT Min,0.13657115,0.87
21,Fwd Packets/s,0.1362573,0.87
22,Fwd Header Length,0.13028502,0.83
23,Flow Packets/s,0.1239529,0.79
24,Bwd Packets/s,0.11662888,0.74
25,Fwd IAT Std,0.1111798,0.71
26,Flow Duration,0.110901624,0.71
27,Idle Min,0.089509316,0.57
28,Bwd IAT Mean,0.088099316,0.56
29,Fwd IAT Min,0.08395805,0.53
30,Average Packet Size,0.082771644,0.53
31,Fwd IAT Max,0.07301394,0.47
32,ACK Flag Count,0.06969986,0.44
33,Bwd IAT Min,0.06649534,0.42
34,Fwd IAT Mean,0.056902796,0.36
35,Idle Max,0.048535194,0.31
36,URG Flag Count,0.047297288,0.3
37,Bwd IAT Std,0.046299152,0.29
38,Fwd Header Length.1,0.043980446,0.28
39,Fwd IAT Total,0.042494226,0.27
40,Min Packet Length,0.036290947,0.23
41,Total Length of Bwd Packets,0.035298724,0.22
42,Active Mean,0.026292715,0.17
43,Avg Bwd Segment Size,0.026183695,0.17
44,Down/Up Ratio,0.02577369,0.16
45,Total Fwd Packets,0.023874016,0.15
46,Subflow Fwd Packets,0.023249634,0.15
47,Packet Length Mean,0.021076065,0.13
48,Fwd Packet Length Std,0.014756821,0.09
49,Fwd Packet Length Min,0.014656168,0.09
50,Bwd Packet Length Min,0.012551376,0.08
51,Idle Mean,0.0100698415,0.06
52,FIN Flag Count,0.006476867,0.04
53,Bwd Packet Length Max,0.0033693768,0.02
54,Packet Length Std,0.0014632955,0.01
55,Max Packet Length,0.0,0.0
56,Idle Std,0.0,0.0
57,Active Min,0.0,0.0
58,Active Max,0.0,0.0
59,Active Std,0.0,0.0
60,min_seg_size_forward,0.0,0.0
61,Fwd PSH Flags,0.0,0.0
62,Packet Length Variance,0.0,0.0
63,SYN Flag Count,0.0,0.0
64,Subflow Bwd Bytes,0.0,0.0
65,Subflow Bwd Packets,0.0,0.0
66,RST Flag Count,0.0,0.0
67,PSH Flag Count,0.0,0.0
68,ECE Flag Count,0.0,0.0
